,상가업소번호,상호명,상권업종소분류코드,경도,위도,시도명,시군구명,법정동명
31553,17050121,사월동버거,Q01A01,128.712138415124,35.8366126400214,대구광역시,수성구,신매동
101781,18390076,눈꽃을나누다,Q01A01,128.596390517262,35.9193801029699,대구광역시,북구,서변동
47848,23178356,종가집곰탕,Q01A09,128.560535960223,35.8347744268347,대구광역시,남구,대명동
77731,16642883,동인정취,Q12A01,128.607423137614,35.8696081145262,대구광역시,중구,동인동4가
11255,16630137,신참떡볶이,Q04A03,128.549755858937,35.8621704945672,대구광역시,서구,내당동
14554,16947896,황금쭈꾸미집,Q03A13,128.561753377202,35.9429632964784,대구광역시,북구,동천동
79702,17163701,바디메이트,Q01A01,128.618193489237,35.851950355993,대구광역시,수성구,수성동3가
60212,16410914,대옥생고기,Q01A01,128.560312777151,35.8675657275681,대구광역시,서구,평리동
62221,26431599,카네기홀,Q06A01,128.623988765222,35.8921463208189,대구광역시,북구,복현동
70315,25592608,소나무,Q01A99,128.633851883649,35.8579977713033,대구광역시,수성구,범어동
97304,18120193,상무초밥,Q03A03,128.623047799597,35.8611007480728,대구광역시,수성구,범어동
35410,26303950,엘지커피솝,Q12A01,128.529087830889,35.8295089939804,대구광역시,달서구,월성동
47160,23266088,자기야,Q09A01,128.558805717025,35.8642558726644,대구광역시,서구,평리동
97065,18118531,위치위치샌드위치월성,Q07A05,128.513265764864,35.816571363996,대구광역시,달서구,유천동
29245,25292488,굽네치킨대구메트로점,Q05A08,128.643713373685,35.8643988012267,대구광역시,수성구,만촌동
71524,15955832,미송식당,Q01A01,128.70838476848,35.8675860915438,대구광역시,동구,서호동
24287,19913970,고향맛식당,Q01A01,128.582383770191,35.8995928485756,대구광역시,북구,침산동
96169,18095238,프랭크버거,Q07A04,128.640578544071,35.8215666327202,대구광역시,수성구,범물동
92416,17852141,피자스쿨,Q07A01,128.554071901999,35.8554808586959,대구광역시,달서구,두류동
71244,12518380,똘방천,Q01A01,128.623802680127,35.8797181109509,대구광역시,동구,신암동
96884,18070554,직화볶음찜닭볶찜,Q05A04,128.54610549266,35.8481624988764,대구광역시,달서구,성당동
16661,16731142,라브디저트공방,Q08A01,128.639561537614,35.8782382002656,대구광역시,동구,효목동
32418,12661454,명덕총각족발태전점,Q01A08,128.552040419664,35.9297049593694,대구광역시,북구,태전동
95113,18013943,제육대가,Q01A01,128.611205682604,35.8848663058466,대구광역시,북구,대현동
35177,16679243,파스쿠찌,Q12A01,128.622512658466,35.853550439849,대구광역시,수성구,범어동
86880,17470753,애프터파스타,Q01A01,128.612988400266,35.8445410955557,대구광역시,수성구,중동
34472,12074539,충청도집,Q01A01,128.604513036859,35.8392752193513,대구광역시,남구,봉덕동
5427,26248029,세시봉,Q09A01,128.521216247119,35.8545552865201,대구광역시,달서구,용산동
14091,25709407,속시원한대구탕,Q03A08,128.646784342538,35.8157739232522,대구광역시,수성구,범물동
30901,17063413,심야식당스툴,Q13A01,128.596706080429,35.8713743325817,대구광역시,중구,문화동
92149,17856847,김밥엔부산어묵,Q04A01,128.619036371749,35.8834652146412,대구광역시,동구,신암동
97868,18042774,집밥한입만,Q01A01,128.617677125181,35.8752972447562,대구광역시,동구,신천동
1131,19994629,대구막창솟대마을,Q01A03,128.654838356541,35.8788138572229,대구광역시,동구,효목동
16392,16726942,스타벅스,Q12A01,128.480147916509,35.8538971823181,대구광역시,달서구,신당동
89576,17720028,순수닭다리살1.1치킨,Q05A08,128.521961420862,35.8567603047929,대구광역시,달서구,용산동
87831,17572409,술꽃포차,Q09A02,128.456517895131,35.8687350314028,대구광역시,달성군,다사읍
82771,17262371,미향돼지국밥,Q01A01,128.629962791584,35.8758283191376,대구광역시,동구,신천동
23376,25290079,장수상회,Q01A01,128.641664305033,35.8656986499569,대구광역시,수성구,만촌동
11783,25755835,대해생고기,Q01A02,128.642159982315,35.8681205522564,대구광역시,수성구,만촌동
18165,16718508,우야꼬닭강정,Q05A08,128.725670413858,35.8712684491934,대구광역시,동구,신서동
79119,20546259,이모네식당,Q01A01,128.612532457535,35.8960719436259,대구광역시,북구,산격동
54151,23382779,옛날통닭,Q05A08,128.713512201957,35.8688806834395,대구광역시,동구,동호동
59528,26390340,자매칼국수,Q04A01,128.61188419773,35.8434651327899,대구광역시,수성구,중동
43953,16060477,쉼커피,Q01A01,128.568581732274,35.9507996000587,대구광역시,북구,학정동
35116,17126506,포도다방,Q12A01,128.563556622217,35.8878032705359,대구광역시,서구,비산동
98712,18223652,청솔로9,Q12A01,128.608479923718,35.8803735473643,대구광역시,북구,대현동
31358,25458448,왕소금구이,Q01A99,128.631461166517,35.8259772957524,대구광역시,수성구,지산동
41170,23317507,다빈치,Q12A01,128.574750902372,35.8596920597945,대구광역시,남구,대명동
52137,19914111,청도추어탕,Q01A01,128.478247675291,35.854571744264,대구광역시,달서구,호산동
73053,26070557,네네치킨화원점,Q05A08,128.495664465549,35.7978073003374,대구광역시,달성군,화원읍
